cik,2017,2018,2019,2020,2021,2022,2016_num,2017_num,2018_num,2019_num,2020_num,2021_num,2022_num,2016_file,2017_file,2018_file,2019_file,2020_file,2021_file,2022_file
1739426,,,-0.18669527896995708,-0.20316622691292877,-0.48344370860927155,-0.1987179487179487,,,466,379,302,156,125,,,1739426_000155837019002499_osmt-20181231x10k.htm.txt,1739426_000155837020002906_osmt-20191231x10k.htm.txt,1739426_000155837021003726_osmt-20201231x10k.htm.txt,1739426_000155837022004770_rvlp-20211231x10k.htm.txt,1739426_000155837023004211_rvlp-20221231x10k.htm.txt
1074828,-0.35,0.15384615384615385,-0.26666666666666666,-0.45454545454545453,0.6666666666666666,0.6,20,13,15,11,6,10,16,1074828_000165495417000244_vsul_10k-17049.htm.txt,1074828_000165495417011929_vsul_10k-17287.htm.txt,1074828_000165495418014237_knowlabs_10k-17565.htm.txt,1074828_000165495419014278_knwn_10-k.htm.txt,1074828_000165495420013963_knwn_10k.htm.txt,1074828_000165495421013414_knwn_10k.htm.txt,1074828_000165495422016732_knwn_10k.htm.txt
1591698,0.175,0.2293144208037825,0.17307692307692307,0.18032786885245902,0.1527777777777778,0.27710843373493976,1800,2115,2600,3050,3600,4150,5300,1591698_000110465916139345_a16-12777_110k.htm.txt,1591698_000155837017006561_pcty-20170630x10k.htm.txt,1591698_000155837018006955_pcty-20180630x10k.htm.txt,1591698_000155837019007859_pcty-20190630x10k.htm.txt,1591698_000155837020009960_pcty-20200630x10k.htm.txt,1591698_000155837021010711_pcty-20210630x10k.htm.txt,1591698_000159169822000094_pcty-20220630.htm.txt
722313,-0.07672634271099744,0.008310249307479225,-0.05631868131868132,-0.0858806404657933,0.24522292993630573,0,782,722,728,687,628,782,782,722313_000110465917015189_a17-1013_110k.htm.txt,722313_000110465918020483_a18-1006_110k.htm.txt,722313_000110465919018979_a19-30043_110k.htm.txt,722313_000143774920005686_nsys20191231_10k.htm.txt,722313_000143774921006916_nsys20201231_10k.htm.txt,722313_000143774922006550_nsys20211231_10k.htm.txt,722313_000143774923007041_nsys20221231_10k.htm.txt
1785345,,,,,,-0.5217391304347826,,,,,,46,22,,,,,,1785345_000095017022004559_labp-20211231.htm.txt,1785345_000095017023009334_labp-20221231.htm.txt
1481646,,,,,0.36627906976744184,0.00851063829787234,,,,,1720,2350,2370,,,,,1481646_000155837021006527_accd-20210228x10k.htm.txt,1481646_000155837022006561_accd-20220228x10k.htm.txt,1481646_000155837023007137_accd-20230228x10k.htm.txt
1432133,,,,,,-0.10158311345646438,,,,,,758,681,,,,,,1432133_000117891322000830_zk2227356.htm.txt,1432133_000143213323000035_kltr-20221231.htm.txt
1606757,0.2,0.05555555555555555,0.10526315789473684,0.015873015873015872,0,0.125,4500,5400,5700,6300,6400,6400,7200,1606757_000160675716000065_ke06302016q410k.htm.txt,1606757_000160675717000049_ke06302017q410k.htm.txt,1606757_000160675718000050_ke06302018q410k.htm.txt,1606757_000160675719000048_ke06302019q410k.htm.txt,1606757_000160675720000051_ke06302020q410k.htm.txt,1606757_000160675721000087_ke-20210630.htm.txt,1606757_000160675722000042_ke-20220630.htm.txt
934549,-0.5185185185185185,0,0.3076923076923077,0.17647058823529413,13.35,-0.08362369337979095,27,13,13,17,20,287,263,934549_000093454917000006_actg2016123110-k.htm.txt,934549_000093454918000007_actg2017123110-k.htm.txt,934549_000093454919000017_actg2018123110-k.htm.txt,934549_000168316820000836_acacia_10k-123119.htm.txt,934549_000168316821001082_acacia_10k-123120.htm.txt,934549_000093454922000006_actg-20211231.htm.txt,934549_000093454923000031_actg-20221231.htm.txt
1799332,,,,,,0.03225806451612903,,,,,,682,704,,,,,,1799332_000149315222010132_form10-k.htm.txt,1799332_000149315223012201_form10-k.htm.txt
1393883,-0.21455938697318008,-0.21300813008130082,0.15495867768595042,-0.0626118067978533,-0.10305343511450382,0.1276595744680851,783,615,484,559,524,470,530,1393883_000139388317000007_dhx10k2016.htm.txt,1393883_000139388318000008_dhx10k2017.htm.txt,1393883_000139388319000009_dhx10k2018.htm.txt,1393883_000139388320000011_dhx10k2019.htm.txt,1393883_000139388321000011_dhx-20201231.htm.txt,1393883_000139388322000025_dhx-20211231.htm.txt,1393883_000139388323000062_dhx-20221231.htm.txt
1598646,0.09090909090909091,0.08333333333333333,0,-0.15384615384615385,-0.18181818181818182,0,11,12,13,13,11,9,9,1598646_000156459017004048_nerv-10k_20161231.htm.txt,1598646_000156459018005224_nerv-10k_20171231.htm.txt,1598646_000156459019007246_nerv-10k_20181231.htm.txt,1598646_000156459020009243_nerv-10k_20191231.htm.txt,1598646_000156459021011340_nerv-10k_20201231.htm.txt,1598646_000156459022007853_nerv-10k_20211231.htm.txt,1598646_000095017023006577_nerv-20221231.htm.txt
910267,-0.07142857142857142,0.7692307692307693,-0.08695652173913043,-0.42857142857142855,-0.08333333333333333,-0.6363636363636364,14,13,23,21,12,11,4,910267_000114420417014986_v461168_10k.htm.txt,910267_000114420418018448_tv488958_10k.htm.txt,910267_000114420419017459_tv516475_10k.htm.txt,910267_000110465920040354_tm205305-1_10k.htm.txt,910267_000110465921044732_tm211758d1_10k.htm.txt,910267_000141057822000518_tmb-20211231x10k.htm.txt,910267_000182912623002504_titanpharma_10k.htm.txt
1825088,,,,,,-0.034653465346534656,,,,,,1212,1170,,,,,,1825088_000114036122009752_brhc10035061_10k.htm.txt,1825088_000182508823000011_dfh-20221231.htm.txt
1686850,,,0.11363636363636363,-0.5102040816326531,0.25,0.43333333333333335,,,44,49,24,30,43,,,1686850_000161577419004560_s116490_10k.htm.txt,1686850_000121390020007971_f10k2019_motusgiholdings.htm.txt,1686850_000121390021015694_f10k2020_motusgiholdings.htm.txt,1686850_000149315222008021_form10-k.htm.txt,1686850_000149315223010263_form10-k.htm.txt
1529377,0.07526881720430108,0.075,0.11627906976744186,0.20833333333333334,0.4482758620689655,0.21428571428571427,930,1000,1075,1200,1450,2100,2550,1529377_000152937717000004_acreq4-1610k.htm.txt,1529377_000152937718000010_acreq4-1710k.htm.txt,1529377_000152937719000006_acreq4-1810k.htm.txt,1529377_000152937720000021_acreq4-1910k.htm.txt,1529377_000162828021002412_acre-20201231.htm.txt,1529377_000162828022002648_acre-20211231.htm.txt,1529377_000162828023003601_acre-20221231.htm.txt
101984,-0.5650917497471464,0.23156146179401993,0.17264634475316967,-0.11686220381872556,0.027611357124251105,0.18073510773130544,6921,3010,3707,4347,3839,3945,4658,101984_000010198417000007_a10k20161231-10k.htm.txt,101984_000010198418000008_a10k20171231-10k.htm.txt,101984_000010198419000012_a10k20181231-10k.htm.txt,101984_000010198420000009_a10k20191231-10k.htm.txt,101984_000010198421000009_ueic-20201231.htm.txt,101984_000010198422000011_ueic-20211231.htm.txt,101984_000010198423000012_ueic-20221231.htm.txt
1641398,,,,,,-0.6428571428571429,,,,,,56,20,,,,,,1641398_000121390022016836_f10k2021_codechainnew.htm.txt,1641398_000121390023025481_f10k2022_gdculture.htm.txt
1845799,,,,,,0.18,,,,,,50,59,,,,,,1845799_000095017022004488_cull-20211231.htm.txt,1845799_000095017023009870_cull-20221231.htm.txt
1595974,-0.10139860139860139,-0.20428015564202334,0.08557457212713937,0.28153153153153154,0.539543057996485,0.08105022831050228,572,514,409,444,569,876,947,1595974_000162828017002588_rubi10k2016.htm.txt,1595974_000159597418000020_rubi10k2017.htm.txt,1595974_000159597419000043_rubiq42018.htm.txt,1595974_000159597420000026_rubiq42019.htm.txt,1595974_000159597421000016_mgni-20201231.htm.txt,1595974_000159597422000010_mgni-20211231.htm.txt,1595974_000159597423000010_mgni-20221231.htm.txt
801337,0.0422979797979798,-0.011205330102967898,0.01010719754977029,0.014251061249241965,-0.029895366218236172,0.2526964560862866,3168,3302,3265,3298,3345,3245,4065,801337_000080133717000070_wbs-10k2016.htm.txt,801337_000080133718000058_wbs-10k2017.htm.txt,801337_000080133719000011_wbs-10k2018.htm.txt,801337_000080133720000014_wbs-20191231.htm.txt,801337_000080133721000011_wbs-20201231.htm.txt,801337_000080133722000011_wbs-20211231.htm.txt,801337_000080133723000013_wbs-20221231.htm.txt
1331757,-0.05045871559633028,0.05314009661835749,-0.06880733944954129,0,-0.009852216748768473,-1.0,218,207,218,203,203,201,0,1331757_000133175717000006_fhlbdallas10-k2016.htm.txt,1331757_000133175718000005_fhlbdallas10-k2017.htm.txt,1331757_000133175719000007_fhlbdallas10-k2018transiti.htm.txt,1331757_000133175720000010_fhlbdallas10-k2019.htm.txt,1331757_000133175721000011_fhlbd-20201231.htm.txt,1331757_000133175722000052_fhlbd-20211231.htm.txt,1331757_000133175723000055_fhlbd-20221231.htm.txt
737758,0.002780216564237635,0.005107252298263534,0.19584785133565621,0.21148476387034115,-0.04599659284497445,0.20105042016806723,6834,6853,6888,8237,9979,9520,11434,737758_000104746916017295_a2230524z10-k.htm.txt,737758_000073775817000056_ttc-10312017x10k.htm.txt,737758_000073775818000050_ttc-10312018x10k.htm.txt,737758_000073775819000028_ttc-10312019x10k.htm.txt,737758_000073775820000029_ttc-20201031.htm.txt,737758_000073775821000030_ttc-20211031.htm.txt,737758_000073775822000039_ttc-20221031.htm.txt
81362,0.04455445544554455,0.023696682464454975,1.0833333333333333,-0.06666666666666667,0.11904761904761904,-0.02127659574468085,2020,2110,2160,4500,4200,4700,4600,81362_000008136217000006_form10k.htm.txt,81362_000008136218000003_maindocument001.htm.txt,81362_000008136219000002_maindocument001.htm.txt,81362_000008136220000002_kwr-20191231.htm.txt,81362_000008136221000004_kwr-20201231.htm.txt,81362_000008136222000003_kwr-20211231.htm.txt,81362_000008136223000014_kwr-20221231.htm.txt
879526,,,,,0.06896551724137931,0.11290322580645161,,,,,5800,6200,6900,,,,,879526_000087952621000018_wnc-20201231.htm.txt,879526_000087952622000014_wnc-20211231.htm.txt,879526_000087952623000014_wnc-20221231.htm.txt
1731289,,,,,1.0,0.6666666666666666,,,,,450,900,1500,,,,,1731289_000173128921000006_nkla-20201231.htm.txt,1731289_000173128922000016_nkla-20211231.htm.txt,1731289_000173128923000013_nkla-20221231.htm.txt
1289419,0.07072905331882481,0.1008130081300813,0.2439069423929099,0.1843550541784177,0.19764381501441283,0.27919631645039766,4595,4920,5416,6737,7979,9556,12224,1289419_000128941917000009_morn_10kx12312016.htm.txt,1289419_000128941918000008_morn_10kx12312017.htm.txt,1289419_000128941919000035_morn_10kx12312018.htm.txt,1289419_000128941920000041_morn10k12312019.htm.txt,1289419_000128941921000039_morn-20201231.htm.txt,1289419_000128941922000005_morn-20211231.htm.txt,1289419_000128941923000005_morn-20221231.htm.txt
1069899,0.07692307692307693,0.07142857142857142,0.06666666666666667,0.0625,0.014705882352941176,0.0782608695652174,1300,1400,1500,1600,1700,1725,1860,1069899_000157104916017853_t1602037_10k.htm.txt,1069899_000157104917007711_t1702407-10k.htm.txt,1069899_000114420418046489_tv500864-10k.htm.txt,1069899_000114420419041832_tv527742-10k.htm.txt,1069899_000110465920098687_tm2024863-1_10k.htm.txt,1069899_000110465921109354_pahc-20210630x10k.htm.txt,1069899_000155837022013940_pahc-20220630x10k.htm.txt
1767837,,,,0.024096385542168676,0.01764705882352941,0.046242774566473986,,,,166,170,173,181,,,,1767837_000092708920000216_rm-10k123119.htm.txt,1767837_000176783721000004_fil-20201231.htm.txt,1767837_000162828022007917_fil-20211231.htm.txt,1767837_000162828023010106_fil-20221231.htm.txt
898437,0.00819672131147541,0.08130081300813008,0.15789473684210525,0.7987012987012987,0.07220216606498195,0.16161616161616163,122,123,133,154,277,297,345,898437_000117184317001121_f10k_022417p.htm.txt,898437_000117184318001450_f10k_022618p.htm.txt,898437_000117184319001243_f10k_022619p.htm.txt,898437_000117184320001536_f10k_030420p.htm.txt,898437_000117184321001573_anik20201231_10k.htm.txt,898437_000117184322001790_anik20211231_10k.htm.txt,898437_000117184323001729_anik20221231_10k.htm.txt
1358403,0.19130434782608696,0.26277372262773724,-0.3815028901734104,-0.8504672897196262,-0.5625,0.8571428571428571,115,137,173,107,16,7,13,1358403_000135840317000050_a2016q410k.htm.txt,1358403_000135840318000037_a2017q410k.htm.txt,1358403_000135840319000038_a2018q410k.htm.txt,1358403_000135840320000007_a201910k1.htm.txt,1358403_000162828021006164_blcm-20201231.htm.txt,1358403_000162828022007196_blcm-20211231.htm.txt,1358403_000162828023010145_blcm-20221231.htm.txt
1811856,,,,,,-0.18659217877094972,,,,,,895,728,,,,,,1811856_000181185622000017_view-20211231.htm.txt,1811856_000181185623000003_view-20221231.htm.txt
924822,0.015412511332728921,0.10714285714285714,0.056451612903225805,-0.022900763358778626,0.1328125,0,1103,1120,1240,1310,1280,1450,1450,924822_000157104917002448_t1700138_10k.htm.txt,924822_000114420418013387_tv487298_10k.htm.txt,924822_000114420419012559_tv514686_10k.htm.txt,924822_000092482220000010_mlr-20191231x10k.htm.txt,924822_000092482221000009_mlr-20201231x10k.htm.txt,924822_000092482222000013_mlr-20211231x10k.htm.txt,924822_000155837023003178_mlr-20221231x10k.htm.txt
1755237,,,,-0.4574468085106383,-0.37254901960784315,-0.5,,,,94,51,32,16,,,,1755237_000110465920032554_tm206168d1_10k.htm.txt,1755237_000156459021008434_cycn-10k_20201231.htm.txt,1755237_000095017022001958_cycn-20211231.htm.txt,1755237_000095017023009223_cycn-20221231.htm.txt
1704287,,,,,,0.7777777777777778,,,,,,9,16,,,,,,1704287_000121390022011417_test.htm.txt,1704287_000121390023021454_f10k2022_bluejaydiag.htm.txt
17843,0.022222222222222223,0.043478260869565216,0.0625,-0.09803921568627451,-0.15217391304347827,0.05128205128205128,4500,4600,4800,5100,4600,3900,4100,17843_000001784316000094_crs630201610k.htm.txt,17843_000001784317000050_crs630201710k.htm.txt,17843_000001784318000047_crs630201810k.htm.txt,17843_000001784319000058_crs630201910k.htm.txt,17843_000001784320000071_crs630202010k.htm.txt,17843_000001784321000030_crs-20210630.htm.txt,17843_000001784322000019_crs-20220630.htm.txt
1114995,0.2693877551020408,-0.0932475884244373,-0.03546099290780142,0.13970588235294118,0.07096774193548387,0.1716867469879518,245,311,282,272,310,332,389,1114995_000156459017003329_pi-10k_20161231.htm.txt,1114995_000156459018005846_pi-10k_20171231.htm.txt,1114995_000156459019005341_pi-10k_20181231.htm.txt,1114995_000156459020008171_pi-10k_20191231.htm.txt,1114995_000156459021006386_pi-10k_20201231.htm.txt,1114995_000156459022004981_pi-10k_20211231.htm.txt,1114995_000095017023002614_pi-20221231.htm.txt
1279704,0,-0.5333333333333333,0.14285714285714285,0.375,0.09090909090909091,0.25,15,15,7,8,11,12,15,1279704_000114420417014611_v460347_10k.htm.txt,1279704_000114420418016175_tv488090_10k.htm.txt,1279704_000114420419009973_tv514137_10k.htm.txt,1279704_000110465920030742_tm205334-1_10k.htm.txt,1279704_000110465921030445_tm211114d1_10k.htm.txt,1279704_000141057822000436_clrb-20211231x10k.htm.txt,1279704_000141057823000224_clrb-20221231x10k.htm.txt
1860543,,,,,,0.016540008940545373,,,,,,2237,2274,,,,,,1860543_000155837022003423_cdre-20211231x10k.htm.txt,1860543_000155837023003915_cdre-20221231x10k.htm.txt
1424182,,0,1,0,0.07042253521126761,-0.039473684210526314,,0,0,71,71,76,73,,1424182_000156459018005758_ck0001424182-10k_20171231.htm.txt,1424182_000156459019007675_ck0001424182-10k_20181231.htm.txt,1424182_000156459020007050_ck1424182-10k_20191231.htm.txt,1424182_000156459021008838_ck1424182-10k_20201231.htm.txt,1424182_000119312522049969_d248996d10k.htm.txt,1424182_000095017023004115_bnl-20221231.htm.txt
5513,0,0.02127659574468085,0.07291666666666667,0.038834951456310676,-0.037383177570093455,0.061844660194174755,9400,9400,9600,10300,10700,10300,10937,5513_000000551317000018_unm12312016-10xk.htm.txt,5513_000000551318000016_unm12312017-10xk.htm.txt,5513_000000551319000004_unm12312018-10xk.htm.txt,5513_000000551320000027_unm-20191231.htm.txt,5513_000000551321000015_unm-20201231.htm.txt,5513_000000551322000030_unm-20211231.htm.txt,5513_000000551323000034_unm-20221231.htm.txt
1436425,,,,,,0.08447488584474885,,,,,,438,475,,,,,,1436425_000143642522000009_hbcp-20211231.htm.txt,1436425_000143642523000011_hbcp-20221231.htm.txt
310354,0.03773584905660377,0.01818181818181818,-0.10714285714285714,-0.24,0.02631578947368421,-0.02564102564102564,5300,5500,5600,5000,3800,3900,3800,310354_000031035416000077_f10k.htm.txt,310354_000031035417000023_f10k.htm.txt,310354_000031035418000016_10k.htm.txt,310354_000143774919017513_sxi20190630_10k.htm.txt,310354_000143774920018688_sxi20200630_10k.htm.txt,310354_000143774921019845_sxi20210630_10k.htm.txt,310354_000143774922019128_sxi20220630_10k.htm.txt
776867,-0.8028571428571428,2.8333333333333335,0.19281663516068054,0.08240887480190175,0.20644216691068815,-0.5127427184466019,1400,276,1058,1262,1366,1648,803,776867_000077686717000005_wtm10-k2016.htm.txt,776867_000077686718000002_wtm10-k2017.htm.txt,776867_000077686719000008_wtm10-k2018.htm.txt,776867_000077686720000009_wtm10-k2019.htm.txt,776867_000077686721000004_wtm-20201231.htm.txt,776867_000077686722000002_wtm-20211231.htm.txt,776867_000077686723000004_wtm-20221231.htm.txt
1757073,,,,-0.008,-0.0967741935483871,0.13392857142857142,,,,12500,12400,11200,12700,,,,1757073_000162828020001914_nvst-123119x10k.htm.txt,1757073_000162828021002508_nvst-20201231.htm.txt,1757073_000175707322000010_nvst-20211231.htm.txt,1757073_000175707323000010_nvst-20221231.htm.txt
886346,0.2,0.041666666666666664,0.12,-0.07142857142857142,0.11538461538461539,0.06896551724137931,2000,2400,2500,2800,2600,2900,3100,886346_000088634617000054_kai201610k.htm.txt,886346_000088634618000018_kai201710k.htm.txt,886346_000088634619000019_kai201810k.htm.txt,886346_000088634620000019_kai201910k.htm.txt,886346_000088634621000021_kai-20210102.htm.txt,886346_000088634622000018_kai-20220101.htm.txt,886346_000088634623000019_kai-20221231.htm.txt
1413891,,2.787878787878788,0.04,-0.4,1.1474358974358974,0.020895522388059702,,66,250,260,156,335,342,,1413891_000121390017009986_f10k2017_mantraventure.htm.txt,1413891_000121390019004884_f10k2018_spectrumglobal.htm.txt,1413891_000121390020012297_f10k2019_spectrumglobal.htm.txt,1413891_000121390021019622_f10k2020_spectrumglobal.htm.txt,1413891_000121390022020116_f10k2021_highwire.htm.txt,1413891_000121390023030267_f10k2022_highwire.htm.txt
1463972,0.22,0.3114754098360656,0.1,0.10227272727272728,0.09278350515463918,-0.009433962264150943,50,61,80,88,97,106,105,1463972_000114420417015161_v461282_10k.htm.txt,1463972_000114420418015310_tv488149_10k.htm.txt,1463972_000114420419014093_tv514947_10k.htm.txt,1463972_000110465920033613_tm205290-1_10k.htm.txt,1463972_000155837021003001_vuzi-20201231x10k.htm.txt,1463972_000155837022002641_vuzi-20211231x10k.htm.txt,1463972_000155837023002560_vuzi-20221231x10k.htm.txt
351998,,-0.009708737864077669,-0.058823529411764705,0,-0.010416666666666666,0,,103,102,96,96,95,95,,351998_000035199818000003_f10k_123117final.htm.txt,351998_000035199819000007_f10k2018.htm.txt,351998_000165495420003376_daio_10k.htm.txt,351998_000165495421003344_daio_10k.htm.txt,351998_000165495422003978_daio_10k.htm.txt,351998_000165495423003841_daio_10k.htm.txt
914748,0.2272108843537415,0.3713968957871397,0.11236863379143087,0.0806686046511628,0.08607935440484196,0.19690402476780186,735,902,1237,1376,1487,1615,1933,914748_000091474817000012_holdings10k2016.htm.txt,914748_000091474818000005_holdings10k2017.htm.txt,914748_000091474819000004_holdings10k2018.htm.txt,914748_000091474820000002_holdings2019q4.htm.txt,914748_000091474821000004_holdings2020q4.htm.txt,914748_000091474822000002_cik0000914748-20211231.htm.txt,914748_000091474823000002_cik0000914748-20221231.htm.txt
1443669,0.33294117647058824,0.09752868490732568,0.019300361881785282,-0.05009861932938856,0.10589700996677741,-0.03567405182125422,1700,2266,2487,2535,2408,2663,2568,1443669_000143774917002947_prlb20161231_10k.htm.txt,1443669_000143774918003222_prlb20171231_10k.htm.txt,1443669_000143774919003141_prlb20181231_10k.htm.txt,1443669_000143774920003547_prlb20191231_10k.htm.txt,1443669_000143774921003413_prlb20201119_10k.htm.txt,1443669_000143774922003779_prlb20211231_10k.htm.txt,1443669_000143774923003930_prlb20221231_10k.htm.txt
1734713,,,0.075,-0.08372093023255814,0.04060913705583756,0.024390243902439025,,,20000,21500,19700,20500,21000,,,1734713_000156459018030205_bv-10k_20180930.htm.txt,1734713_000156459019044016_bv-10k_20190930.htm.txt,1734713_000156459020054411_bv-10k_20200930.htm.txt,1734713_000095017021004707_bv-20210930.htm.txt,1734713_000095017022025340_bv-20220930.htm.txt
1081745,,,,,,0.41228070175438597,,,,,,114,161,,,,,,1081745_000149315222007657_form10-k.htm.txt,1081745_000149315223009074_form10-k.htm.txt
1851657,,,,,,0.033707865168539325,,,,,,89,92,,,,,,1851657_000156276222000139_vaxxq410k.htm.txt,1851657_000156276223000132_vaxxq410k.htm.txt
944745,0.03857566765578635,0.2342857142857143,0.05787037037037037,0.00437636761487965,-0.0392156862745098,0.2018140589569161,337,350,432,457,459,441,530,944745_000119312517083654_d484526d10k.htm.txt,944745_000156459018004931_civb-10k_20171231.htm.txt,944745_000156459019007947_civb-10k_20181231.htm.txt,944745_000156459020011146_civb-10k_20191231.htm.txt,944745_000156459021013168_civb-20201231.htm.txt,944745_000119312522076022_d276836d10k.htm.txt,944745_000095017023008123_civb-20221231.htm.txt
1108524,0.16,0.20689655172413793,0.4,0.15522448979591838,0.2991732325195209,0.07953386546280307,25000,29000,35000,49000,56606,73541,79390,1108524_000110852417000006_crm-2017131x10k.htm.txt,1108524_000110852418000011_crmq4fy1810-k.htm.txt,1108524_000110852419000009_crmq4fy1910-k.htm.txt,1108524_000110852420000014_crm-20200131.htm.txt,1108524_000110852422000008_crm-20210131.htm.txt,1108524_000110852422000013_crm-20220131.htm.txt,1108524_000110852423000011_crm-20230131.htm.txt
1082324,0.05,0,-0.047619047619047616,0.05,0.14285714285714285,0.041666666666666664,20,21,21,20,21,24,25,1082324_000156761917000463_h10042025x1_10k.htm.txt,1082324_000114036118013886_h10051574x1_10k.htm.txt,1082324_000114036119005116_h10061330x1_10k.htm.txt,1082324_000114036120005863_hc10009381x1_10k.htm.txt,1082324_000114036121008678_brhc10021150_10k.htm.txt,1082324_000114036122009768_brhc10034642_10k.htm.txt,1082324_000114036123015369_brhc10048883_10k.htm.txt
1157601,0,1.125,0.17647058823529413,-0.9,-0.5,91.0,8,8,17,20,2,1,92,1157601_000104746917002260_a2231593z10-k.htm.txt,1157601_000104746918001557_a2234835z10-k.htm.txt,1157601_000104746919000725_a2237824z10-k.htm.txt,1157601_000119312520049021_d796399d10k.htm.txt,1157601_000119312521056164_d103755d10k.htm.txt,1157601_000119312522051569_d243442d10k.htm.txt,1157601_000119312523045575_d437449d10k.htm.txt
1496323,,,,0.671875,0.794392523364486,0.34375,,,,64,107,192,258,,,,1496323_000156459020013183_igms-10k_20191231.htm.txt,1496323_000156459021016675_igms-10k_20201231.htm.txt,1496323_000095017022004842_igms-20211231.htm.txt,1496323_000095017023010920_igms-20221231.htm.txt
